ref,addr:street,addr:housenumber,name,operator,ref:vatin,addr:postcode,addr:city,start_date
1,Via San Francesco Da Paola,10,San Francesco Da Paola,,IT03603780010,10123,Torino,2005-01-01
2,Piazza Vittorio Veneto,10,Algostino Demichelis,Gallo dottor Mario,IT10170320013,10123,Torino,2015-01-02
3,Via del Carmine,1,Ferrero,,IT10491430012,10122,Torino,2011-01-05
4,Via Carlo Alberto,24,Internazionale,,IT11090630010,10123,Torino,2017-01-07
5,Via San Francesco D`Assisi,14,Collegiata Santa Maria Snc,dottor Balagna Agostino e Figli,IT09485870019,10122,Torino,2010-01-09
6,Via Giuseppe Mazzini,24,Del Conservatorio Snc,"dottorI Vecco G., Amoretti A. e Capello C.",IT11104390015,10123,Torino,2017-01-07
7,Piazza Vittorio Veneto,11,Operti,,IT00768850018,10124,Torino,2005-01-01
8,Piazza C. Felice,63,Carlo Felice,,IT09317390012,10123,Torino,2010-01-09
9,Corso Vittorio Emanuele II,84,Del Monumento,,IT03746910011,10121,Torino,2013-01-04
10,Via Delle Orfane,25,Della Consolata,,IT08872550010,10122,Torino,2019-01-01
11,Via Xx Settembre,87,Regia Farmacia,Monchiero Luca & C. S.A.S.,IT11804940010,10100,Torino,2018-01-04
12,Corso Vinzaglio,31/E,Farmacia Montanaro,dottoressa Platter Francesca e C. S.N.C.,IT11676030015,10121,Torino,2018-01-11
13,Corso Vittorio Emanuele II,66,Boniscontro,,IT05230100017,10121,Torino,2005-01-01
14,Via Po,14,Università Giorda,,IT10041330019,10124,Torino,2009-01-10
15,Via Po,31/B,Degli Stemmi,Maranzana dottoressa Claudia,IT11552520014,10124,Torino,2017-01-07
16,Via Cernaia,24,Santa Barbara,,IT11553910016,10122,Torino,2017-01-07
17,Galleria Umberto I,54,Ordine Mauriziano Sas,dottoressa Carboncini Alessandra & C.,IT10285940010,10122,Torino,2015-01-02
18,Via Cernaia,14,Pensa,,IT05901920016,10122,Torino,2005-01-01
19,Via Roma,24,Centrale,Impresa Sas;dr.Ssa Bruzzone Patrizia e C.,IT10050900017,10121,Torino,2015-01-02
20,Via dei Mille,48,Della Rocca,,IT06424140017,10123,Torino,2005-01-01
21,Via Giovanni Giolitti,2,San Carlo,,IT06694230019,10123,Torino,2005-01-01
22,Via Maria Vittoria,3,Regia Farmacia Masino,,IT06810590015,10123,Torino,2005-01-01
23,Via Giuseppe Garibaldi,26,Antica Farmacia Bosio,Spirito dottoressa Giovanna,IT09722390011,10122,Torino,2011-01-01
24,Corso Vittorio Emanuele II,34,Anedda,Caracristi dottoressa Paola,IT10501460017,10123,Torino,2011-01-05
25,Via Milano,11,Anglesio,,IT07328630012,10122,Torino,2005-01-01
26,Via Giovanni Giolitti,7/C,Madonna Degli Angeli,Bobba Paola,IT10227830014,10123,Torino,2010-01-09
27,Via S. Teresa,21,Solferino Snc,dottoressa Ricotti Anna e C.,IT11568670019,10121,Torino,2017-01-07
28,Via XX Settembre,5,Comunale 42 - Afc,,IT09971950010,10121,Torino,2010-01-08
29,Piazza Statuto,4,Comunale 43 - Afc,,IT09971950010,10122,Torino,2016-01-11
30,Via Po,4,Po,,IT07805510018,10123,Torino,2005-01-01
31,Via Bellini,8,Mamone Sas,dottoressa Mamone Luciana e C.,IT11338690016,10121,Torino,2017-01-07
32,Piazza Statuto,3,Almasio Snc,dottori Chiassa Paola e Quaini Francesco,IT08073470018,10122,Torino,2013-01-03
33,Via Giuseppe Mazzini,40,Europea,dottoressa Audiberti Emanuela,IT11482900013,10123,Torino,2017-01-07
34,Via Po,51,Berta,Collegiata Snc;dr.I Federica Bianchi e Gaia Bagnasacco,IT10396180019,10124,Torino,2011-01-03
35,Via San Tommaso,2/A,San Simone,dottor Pedulla' Mauro,IT11180860014,10122,Torino,2017-01-07
36,Via San Tommaso,16,Gruner S.A.S.,dottor Timeus Marco & C.,IT09942490013,10121,Torino,2010-01-09
37,Via Nizza,15,I Portici,A.L.M. Sas;dr. Lorenzetti Paolo e C.,IT11181590016,10125,Torino,2017-01-07
38,Via Madama Cristina,14,San Salvario,dottoressa Boglietti Piera e C.,IT00510870017,10125,Torino,2013-01-03
39,Via Madama Cristina,78,Santa Matilde,Richiardi dottoressa Cristina,IT10194520010,10126,Torino,2010-01-03
40,c/o FF. SS. - Porta Nuova,,Comunale 25 - Afc,,IT09971950010,10125,Torino,2010-01-08
41,Via Nizza,108,Gani Snc,Gani Grazia e Dallosta Roberto,IT09368300019,10126,Torino,2008-01-01
42,Via Nizza,115,Sacro Cuore Snc,dottori Ferrato Adolfo e Cravini Stefania Maria,IT10005770010,10126,Torino,2009-01-09
43,Via Nizza,65,Nizza,,IT06372790011,10125,Torino,2005-01-01
44,Corso Massimo D'Azeglio,100,Farmacia Torino Esposizioni Snc,,IT06424110010,10126,Torino,2019-01-03
45,Corso Vittorio Emanuele II,4,Del Corso,dottoressa Barake Karen,IT09542330015,10125,Torino,2017-01-07
46,Via Nizza,27,San Salvatore,,IT06757040016,10125,Torino,2005-01-01
47,Corso Dante,78,Dante,,IT07141030010,10126,Torino,2005-01-01
48,Via Madama Cristina,62,Borgarelli,dottori G. e P. Borgarelli Snc,IT07852990014,10125,Torino,2008-01-01
49,Via Claudio Luigi Berthollet,10,Cavallo Snc,dottorI Guzzinati Mauro e Cavallo Silvia,IT11434650013,10125,Torino,2017-01-07
50,Via Madama Cristina,37,Portis,,IT00551200017,10125,Torino,2005-01-01
51,Corso Filippo Turati,38/C,Mauriziana,Gsg;ielo Stefania e C.,IT10285940010,10128,Torino,2013-01-03
52,Corso Alcide De Gasperi,6,Borgo Crocetta,,IT04750620017,10129,Torino,2005-01-01
53,Via Paolo Sacchi,46,Picco Tavano,,IT02138360066,10128,Torino,2010-01-09
54,Corso Vittorio Emanuele,121,Sant'Antonio,,IT04838730010,10128,Torino,2005-01-01
55,Corso Alcide De Gasperi,69,Maria Cristina Sas,dottor Pautasso Renato e C,IT10313740010,10129,Torino,2010-01-08
56,Corso Germano Sommelier,31,Sant'Anna Snc,"Ferrato Adolfo, Becucci Alessandra e Ferrato Paola",IT11050450011,10128,Torino,2017-01-07
57,Corso Stati Uniti,5,Leva Snc,Calliero Paolo e Formiglia Mauro,IT09858330013,10128,Torino,2016-01-02
58,Corso Duca degli Abruzzi,66,Daniele,,IT05810710011,10129,Torino,2005-01-01
59,Via San Secondo,9,San Secondo,,IT01167810058,10128,Torino,2008-01-01
60,Corso Re Umberto,38,Re Umberto Snc,dottoresse Pagliero P. e Rosa M. V.,IT07493500016,10128,Torino,2008-01-01
61,Largo Umberto 114/A,,Galileo Farmabivi Snc,Bigliani L. e Vico M.,IT05167390011,10128,Torino,2007-01-04
62,Via Paolo Sacchi,4,Porta Nuova,,IT08210640010,10128,Torino,2005-01-01
63,Via San Secondo,46,Del Leone,,IT08334970012,10128,Torino,2005-01-01
64,Via Cristoforo Colombo,42,Magno Francone Roberta,,IT08337030012,10129,Torino,2005-01-01
65,Via Nizza,183,Delle Molinette,,IT09687190018,10126,Torino,2010-01-09
66,Via Nizza,354,Lingottofarma S.A.S.,dottor Cocirio Davide e C.,IT11837350013,10127,Torino,2019-01-07
67,Via Genova,89/H,Santa Gemma,Farmapiu' Torino Sas;dr.Ssa Calatroni Daniela,IT10123670019,10126,Torino,2013-01-03
68,Piazza Camillo Bozzolo,11,Comunale 46 Afc,,IT00529840019,10126,Torino,2007-01-04
69,Via Genova,122,San Giacomo Sas,dottor Bonino Filippo e C.,IT10193850012,10126,Torino,2010-01-03
70,Via Nizza 249,,Farmacia Millefonti S.N.C.,,IT11758040015,10126,Torino,2018-01-04
71,Via Nizza,214,Farmacia Torino Spezia,,IT10994150018,10126,Torino,2019-01-02
72,Via Genova,179/F,San Dario,,IT07646770011,10127,Torino,2005-01-01
73,Corso Maroncelli,28,Santa Rosalia,,IT08194730019,10127,Torino,2005-01-01
74,Corso Traiano,22/E,Comunale 8 - Afc,,IT09971950010,10135,Torino,2010-01-09
75,Corso Traiano,86,Comunale 15 - Afc,,IT07535100015,10135,Torino,2007-01-04
76,Corso Corsica,9,Comunale 28 - Afc,,IT07034700018,10134,Torino,2007-01-04
77,Via Pio VII,164/C,Mdr S.N.C.,Manenti A. e Arietti V.,IT11531900014,10127,Torino,2017-01-07
78,Via Passo Buole,59/H,Ghezzo,,IT09253670013,10127,Torino,2008-01-01
79,Corso Traiano,73,Baggio Roba,,IT00581160017,10135,Torino,2005-01-01
80,Corso Unione Sovietica,85,Gualdi,,IT00546000019,10134,Torino,2005-01-01
81,Corso Unione Sovietica,397,Steffanone,,IT00510850019,10135,Torino,2005-01-01
82,Piazza Tancredi Galimberti,7,Mdr S.N.C.,Manenti A. e Arietti V.,IT11531900014,10134,Torino,2017-01-07
83,Corso Eusebio Giambone,19,Monviso,,IT04747790014,10134,Torino,2005-01-01
84,Via Tunisi,99,Gay,,IT05905250014,10134,Torino,2005-01-01
85,Corso Traiano,158,Monari Snc,Francesca e Maria Giovanna Monari,IT03106620010,10127,Torino,2015-01-02
86,Via Tunisi,51,Gussoni,,IT07342040016,10134,Torino,2005-01-01
87,Via Passo Buole,160/A,Guarino,,IT07472010011,10135,Torino,2005-01-01
88,Via ARNALDO DA BRESCIA,25,Farmacia Sant'Eraldo Srl,,IT09817810014,10134,Torino,2019-01-10
89,Via Onorato Vigliani,55/G,Giardini Guala Sas,Tuninetti dottor Michele,IT09729590019,10135,Torino,2016-01-05
90,Via Arnaldo Da Brescia,38,Farm,Giglio;dr.Ssa Coggi Paola Maria,IT11567180010,10134,Torino,2017-01-07
91,Corso Fiume,4,Borgo Crimea,,IT00552630014,10133,Torino,2005-01-01
92,Piazza Gran Madre di Dio,1,Gran Madre,,IT09578480015,10131,Torino,2010-01-09
93,Corso Moncalieri,59,Antoniotti,,,10133,Torino,2011-01-09
94,Via Monferrato 22E,,Borgo Po,dottoressa Boasso Lorena,IT03582290049,10131,Torino,2017-01-07
95,Corso Moncalieri,265,Farmacia Pilonetto S.A.S.,dottor Bellardone Alberto e C.,IT11224200011,10133,Torino,2019-01-02
96,Piazza Freguglia,6,Cavoretto Snc,dottoresse Carla e Paola Giovanna Maria Piacentino,IT11520010015,10133,Torino,2017-01-07
97,Via Celeste Negarville,8/10,Comunale 13 - Afc,,IT00246650014,10135,Torino,2017-01-07
98,Via Arturo Farinelli,36/9,Comunale 40 - Afc,,IT07019070015,10135,Torino,2007-01-04
99,Corso Unione Sovietica,585,San Domenico,,IT03015430014,10135,Torino,2016-01-12
100,Corso Unione Sovietica,491,Ottone,,IT05455020015,10135,Torino,2005-01-01
101,Via Pramollo,6,Farmacia Pramollo,,IT11656870018,10135,Torino,2019-01-03
102,Via Candiolo,31,Sennacheribbo,Sennacheribbo Luisa e Claudia Snc,IT06377940017,10127,Torino,2005-01-01
103,Via Onorato Vigliani,160,Vigliani,,IT07933620010,10127,Torino,2005-01-01
104,Via Monginevro,57,Busatti Borgo San Paolo Sas,Garrone dottoressa Luisa & C.,IT08268160010,10141,Torino,2010-01-09
105,Corso Rosselli,106/D,Mazzoli,,IT02099440014,10129,Torino,2013-01-03
106,Via Rivalta,56/D,Delle Erbe,Farmapiu' Torino Sas;dr.Ssa Calatroni Daniela,IT10123670019,10141,Torino,2013-01-03
107,Corso Racconigi,186,Bullio Dranzon,,IT04778500019,10141,Torino,2015-01-02
108,Via Monginevro,105,Gillone,,IT06663770011,10141,Torino,2005-01-01
109,Via Vincenzo Lancia,11/D,Sant'Emilio,Bruna Rosso D. e Vallenzasca L. Snc,IT00545960015,10141,Torino,2007-01-04
110,Via Paolo Braccini,101,San Bernardino Snc,dottor Paschetta S. & C.,IT07393720011,10141,Torino,2010-01-09
111,Via San Paolo,49/A,Borgo San Paolo,,IT05819520015,10141,Torino,2007-01-04
112,Corso Francia,35,Frejus,dottor Ravazzini Rento,IT10628080011,10138,Torino,2017-01-07
113,Corso Vittorio Emanuele II,182/BIS/C,Comunale 17 - Afc,,IT07019070015,10138,Torino,2005-01-01
114,Via Duchessa Jolanda,15/BIS/E,Bernardi,,IT04315880015,10138,Torino,2005-01-01
115,Via Di Nanni,79/E,Dell'Erica Sas,dottor Fachinetti Albino e C.,IT10561820019,10138,Torino,2017-01-07
116,Via Almese,2.0,Braccio Snc,dottoressa Fassio Claudia e C.,IT09595260010,10138,Torino,2013-01-03
117,Corso Francia,1/BIS,Porta Susa Snc,E. e L. Platter,IT06351660011,10138,Torino,2005-01-01
118,Corso Peschiera,244/A,Madonna,Fiori;prandi M.G. e I. Snc,IT06574440019,10139,Torino,2005-01-01
119,Corso Peschiera,142/F,Balocco,,IT06588510013,10138,Torino,2005-01-01
120,Via Frejus,41,Cenisia,Ventura Angelo e C. Sas,IT06645590016,10139,Torino,2005-01-01
121,Piazza Adriano,12,Del Benessere,Fedeli Sas;dott. Marinello Stefano & C.,IT06915420019,10138,Torino,2005-01-01
122,Via Monginevro,29,Comunale 45 - Afc,,IT09971950010,10138,Torino,2010-01-08
123,Via Di Nanni,42,Santa Rosa,,IT07860820013,10139,Torino,2010-01-09
124,Corso Sebastopoli,143,Santa Rita Snc,,IT09247120018,10137,Torino,2008-01-01
